fldID,fldRequestRef,fldSequence,fldPartNumber,fldPartDesc,fldRequested,fldShipped,fldOrderType,fldDateAdded,PC_PartDesc,fldPartsMasterRef,fldPartDescription,fldStatus,fldClassRef,fldManufacturerRef,VehMakeYear,VehEngineType,VehCylinders,ModelName,isInActive_model,VehTypeRef,VehTrim,isInActive_trim,VehMake,IsInactiveMake
913CF85B-816D-43F4-9A93-A937655CC0DD,034F6DCF-5AAE-49C6-B621-0D94B13BF0AC,1,KV6Z 7K340 A,BUSHING,1.0,1.0,0,2024-05-15 16:51:27.487,BUSHING,1,BUSHING,1,164,3,2017,2.5L IVCT I4,4,ESCAPE,True,6,S,False,FORD,False
98E0A680-759E-4367-BE60-8DA41383B322,034F6DCF-5AAE-49C6-B621-0D94B13BF0AC,2,DG9Z 7S004 A,CAP,1.0,1.0,0,2024-05-15 16:51:27.490,CAP,1,CAP,1,164,3,2017,2.5L IVCT I4,4,ESCAPE,True,6,S,False,FORD,False
E00FC782-76D5-451A-90F4-866AD5E65483,5831CE6D-E7E5-410E-981E-FC440E7BE876,1,DG9Z 7S004 A,CAP,1.0,1.0,0,2023-10-25 19:37:21.990,CAP,1,CAP,1,164,3,2017,2.5L IVCT I4,4,ESCAPE,True,6,S,False,FORD,False
0713FA8D-D03B-4B4F-A8BA-7F0045089059,5831CE6D-E7E5-410E-981E-FC440E7BE876,2,KV6Z 7K340 A,BUSHING,1.0,1.0,0,2023-10-25 19:37:24.683,BUSHING,1,BUSHING,1,164,3,2017,2.5L IVCT I4,4,ESCAPE,True,6,S,False,FORD,False
40ACE67E-CC3C-4691-AEE4-30A9779498D4,C2A1D7E1-4C4C-4032-B53F-9D5FA33043C3,1,FL 910 SB12,KIT - ELEMENT & GASK,1.0,1.0,0,2023-10-25 19:36:13.723,OIL FILTER - FL 910 SB12,1,OIL FILTER - FL 910 SB12,1,15,3,2017,2.5L IVCT I4,4,ESCAPE,True,6,S,False,FORD,False
5FEF1249-C5DB-4923-BC91-AB7E19D1C4EA,C2A1D7E1-4C4C-4032-B53F-9D5FA33043C3,2,ENV50,ENV FEE 0.50,1.0,1.0,0,2023-10-25 19:36:17.793,TXLEV ENV FEE 0.50,-1,TXLEV ENV FEE 0.50,3,-1,3,2017,2.5L IVCT I4,4,ESCAPE,True,6,S,False,FORD,False
387687E2-8E6E-4531-9432-B3C2E5106276,C2A1D7E1-4C4C-4032-B53F-9D5FA33043C3,3,CXO 5W20 BSP,* 5W20 * PREMIUM OIL 1L,6.0,6.0,0,2023-10-25 19:36:19.127,* 5W20 * PREMIUM OIL 1L,1,* 5W20 * PREMIUM OIL 1L,4,133,3,2017,2.5L IVCT I4,4,ESCAPE,True,6,S,False,FORD,False
55AA5A1E-18A4-4C48-A56C-CF878B11C893,C2A1D7E1-4C4C-4032-B53F-9D5FA33043C3,4,ENV5,ENV FEE 0.05 F,6.0,6.0,0,2023-10-25 19:36:23.943,TXLEV ENV FEE 0.05 F,-1,TXLEV ENV FEE 0.05 F,3,-1,3,2017,2.5L IVCT I4,4,ESCAPE,True,6,S,False,FORD,False
43C5D966-CD47-4CC1-99E2-C6AC899AC246,19BBA61D-AD33-430D-9D91-7D9088B27C7C,2,ENV,ENVIRO FEE,1.0,1.0,0,2022-06-20 06:59:07.820,TXLEV ENVIRO FEE,-1,TXLEV ENVIRO FEE,3,-1,1,2017,2.5L IVCT I4,4,ESCAPE,True,6,S,False,FORD,False
72E946B7-9ED2-47E3-A767-E9C60A274B26,19BBA61D-AD33-430D-9D91-7D9088B27C7C,3,CXO 5W20 DBSP,OIL - ENGINE,6.0,6.0,0,2022-06-20 06:59:07.820,# BSP,1,# BSP,5,-1,3,2017,2.5L IVCT I4,4,ESCAPE,True,6,S,False,FORD,False
